time_step,h,dt,time,index,position,velocity,density,energy
0,0.019801980198019785,0.009392903941094188,0.0,0,0.009900990099009901,-0.505160943099856,0.6733333333333336,1.0
0,0.019801980198019785,0.009392903941094188,0.0,1,0.019801980198019802,-0.15949486860184517,0.9153125000000002,1.0
0,0.019801980198019785,0.009392903941094188,0.0,2,0.0297029702970297,0.010014835784017972,0.9994791666666667,1.0
0,0.019801980198019785,0.009392903941094188,0.0,3,0.039603960396039604,0.019100644896094036,1.0099999999999998,1.0
0,0.019801980198019785,0.009392903941094188,0.0,4,0.04950495049504951,0.0028767544050080514,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,5,0.0594059405940594,0.00020804458290589025,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,6,0.06930693069306931,-1.5016634241833004e-16,1.0099999999999998,1.0
0,0.019801980198019785,0.009392903941094188,0.0,7,0.07920792079207921,-3.3370298315184456e-17,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,8,0.0891089108910891,1.5016634241833004e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,9,0.09900990099009901,-1.5016634241833004e-16,1.0099999999999998,1.0
0,0.019801980198019785,0.009392903941094188,0.0,10,0.10891089108910891,3.3370298315184456e-17,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,11,0.1188118811881188,3.1701783399425236e-16,1.0099999999999998,1.0
0,0.019801980198019785,0.009392903941094188,0.0,12,0.12871287128712872,-2.5027723736388343e-16,1.0099999999999996,1.0
0,0.019801980198019785,0.009392903941094188,0.0,13,0.13861386138613863,-2.0022178989110673e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,14,0.1485148514851485,1.668514915759223e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,15,0.15841584158415842,1.6685149157592228e-17,1.0099999999999998,1.0
0,0.019801980198019785,0.009392903941094188,0.0,16,0.16831683168316833,-2.0022178989110673e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,17,0.1782178217821782,1.668514915759223e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,18,0.18811881188118812,1.6685149157592228e-17,1.0099999999999998,1.0
0,0.019801980198019785,0.009392903941094188,0.0,19,0.19801980198019803,-2.0022178989110673e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,20,0.2079207920792079,1.5016634241833004e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,21,0.21782178217821782,8.342574578796114e-18,1.0099999999999998,1.0
0,0.019801980198019785,0.009392903941094188,0.0,22,0.22772277227722773,-2.8364753567906787e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,23,0.2376237623762376,3.003326848366601e-16,1.0099999999999998,1.0
0,0.019801980198019785,0.009392903941094188,0.0,24,0.24752475247524752,6.173505188309124e-16,1.0099999999999993,1.0
0,0.019801980198019785,0.009392903941094188,0.0,25,0.25742574257425743,-7.508317120916502e-17,1.0099999999999993,1.0
0,0.019801980198019785,0.009392903941094188,0.0,26,0.26732673267326734,-9.844238002979416e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,27,0.27722772277227725,-8.175723087220192e-16,1.010000000000001,1.0
0,0.019801980198019785,0.009392903941094188,0.0,28,0.2871287128712871,7.007762646188736e-16,1.010000000000001,1.0
0,0.019801980198019785,0.009392903941094188,0.0,29,0.297029702970297,9.593960765615532e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,30,0.3069306930693069,2.91990110257864e-16,1.0099999999999991,1.0
0,0.019801980198019785,0.009392903941094188,0.0,31,0.31683168316831684,-3.3370298315184456e-17,1.009999999999999,1.0
0,0.019801980198019785,0.009392903941094188,0.0,32,0.32673267326732675,-2.1690693904869897e-16,1.0099999999999991,1.0
0,0.019801980198019785,0.009392903941094188,0.0,33,0.33663366336633666,-9.176832036675725e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,34,0.34653465346534656,-6.840911154612813e-16,1.010000000000001,1.0
0,0.019801980198019785,0.009392903941094188,0.0,35,0.3564356435643564,7.091188391976697e-16,1.010000000000001,1.0
0,0.019801980198019785,0.009392903941094188,0.0,36,0.36633663366336633,9.760812257191454e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,37,0.37623762376237624,3.7541585604582515e-16,1.0099999999999991,1.0
0,0.019801980198019785,0.009392903941094188,0.0,38,0.38613861386138615,-3.503881323094368e-16,1.0099999999999991,1.0
0,0.019801980198019785,0.009392903941094188,0.0,39,0.39603960396039606,-9.176832036675725e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,40,0.40594059405940597,-6.840911154612813e-16,1.010000000000001,1.0
0,0.019801980198019785,0.009392903941094188,0.0,41,0.4158415841584158,7.091188391976697e-16,1.010000000000001,1.0
0,0.019801980198019785,0.009392903941094188,0.0,42,0.42574257425742573,9.760812257191454e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,43,0.43564356435643564,3.7541585604582515e-16,1.0099999999999991,1.0
0,0.019801980198019785,0.009392903941094188,0.0,44,0.44554455445544555,-3.503881323094368e-16,1.0099999999999991,1.0
0,0.019801980198019785,0.009392903941094188,0.0,45,0.45544554455445546,-9.176832036675725e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,46,0.46534653465346537,-6.840911154612813e-16,1.010000000000001,1.0
0,0.019801980198019785,0.009392903941094188,0.0,47,0.4752475247524752,7.007762646188736e-16,1.010000000000001,1.0
0,0.019801980198019785,0.009392903941094188,0.0,48,0.48514851485148514,9.593960765615532e-16,1.01,1.0
0,0.019801980198019785,0.009392903941094188,0.0,49,0.49504950495049505,2.753049611002718e-16,1.0099999999999991,1.0
0,0.019801980198019785,0.009392903941094188,0.0,50,0.504950495049505,-2.0022178989110673e-16,1.009999999999999,1.0
0,0.019801980198019785,0.009392903941094188,0.0,51,0.5148514851485149,-5.83980220515728e-17,1.009999999999999,1.0
0,0.019801980198019785,0.009392903941094188,0.0,52,0.5247524752475248,6.674059663036891e-17,1.009999999999999,1.0
0,0.019801980198019785,0.009392903941094188,0.0,53,0.5346534653465347,2.6696238652147565e-16,1.009999999999999,1.0
0,0.019801980198019785,0.009392903941094188,0.0,54,0.5445544554455446,-4.0044357978221345e-16,1.0099999999999993,1.0
0,0.019801980198019785,0.009392903941094188,0.0,55,0.5544554455445545,-2.0022178989110675e-15,1.0100000000000007,1.0
0,0.019801980198019785,0.009392903941094188,0.0,56,0.5643564356435644,-1.468293125868116e-15,1.0100000000000025,1.0
0,0.019801980198019785,0.009392903941094188,0.0,57,0.5742574257425742,1.468293125868116e-15,1.0100000000000025,1.0
0,0.019801980198019785,0.009392903941094188,0.0,58,0.5841584158415841,2.0022178989110675e-15,1.0100000000000007,1.0
0,0.019801980198019785,0.009392903941094188,0.0,59,0.594059405940594,4.0044357978221345e-16,1.0099999999999993,1.0
0,0.019801980198019785,0.009392903941094188,0.0,60,0.6039603960396039,-2.6696238652147565e-16,1.009999999999999,1.0
0,0.019801980198019785,0.009392903941094188,0.0,61,0.6138613861386139,-6.674059663036891e-17,1.009999999999999,1.0
0,0.019801980198019785,0.009392903941094188,0.0,62,0.6237623762376238,0.0,1.009999999999999,1.0
0,0.019801980198019785,0.009392903941094188,0.0,63,0.6336633663366337,0.0,1.009999999999999,1.0
0,0.019801980198019785,0.009392903941094188,0.0,64,0.6435643564356436,8.342574578796114e-18,1.009999999999999,1.0
0,0.019801980198019785,0.009392903941094188,0.0,65,0.6534653465346535,6.674059663036891e-17,1.009999999999999,1.0
0,0.019801980198019785,0.009392903941094188,0.0,66,0.6633663366336634,2.6696238652147565e-16,1.009999999999999,1.0
0,0.019801980198019785,0.009392903941094188,0.0,67,0.6732673267326733,-4.0044357978221345e-16,1.0099999999999993,1.0
0,0.019801980198019785,0.009392903941094188,0.0,68,0.6831683168316832,-2.0022178989110675e-15,1.0100000000000007,1.0
0,0.019801980198019785,0.009392903941094188,0.0,69,0.6930693069306931,-1.468293125868116e-15,1.0100000000000025,1.0
0,0.019801980198019785,0.009392903941094188,0.0,70,0.7029702970297029,1.468293125868116e-15,1.0100000000000025,1.0
0,0.019801980198019785,0.009392903941094188,0.0,71,0.7128712871287128,2.0022178989110675e-15,1.0100000000000007,1.0
