time_step,time,index,position,velocity,density
0,0.0,0,0.05,0.0,5.666666666666667
0,0.0,1,0.15,0.0,6.9253333333333345
0,0.0,2,0.25,0.0,7.9813333333333345
0,0.0,3,0.35,0.0,8.73866666666667
0,0.0,4,0.44999999999999996,0.0,9.133333333333336
0,0.0,5,0.5499999999999999,0.0,9.133333333333333
0,0.0,6,0.65,0.0,8.738666666666667
0,0.0,7,0.75,0.0,7.9813333333333345
0,0.0,8,0.85,0.0,6.925333333333335
0,0.0,9,0.95,0.0,5.666666666666668
