time_step,dt,h,time,index,position,velocity,density
0,0.0,0.14999999999999997,0.0,0,0.05,0.0,7.242798353909467
0,0.0,0.14999999999999997,0.0,1,0.15,0.0,9.711934156378604
0,0.0,0.14999999999999997,0.0,2,0.25,0.0,10.041152263374487
0,0.0,0.14999999999999997,0.0,3,0.35,0.0,10.041152263374489
0,0.0,0.14999999999999997,0.0,4,0.44999999999999996,0.0,10.041152263374487
0,0.0,0.14999999999999997,0.0,5,0.5499999999999999,0.0,10.041152263374483
0,0.0,0.14999999999999997,0.0,6,0.65,0.0,10.041152263374483
0,0.0,0.14999999999999997,0.0,7,0.75,0.0,10.041152263374487
0,0.0,0.14999999999999997,0.0,8,0.85,0.0,9.711934156378604
0,0.0,0.14999999999999997,0.0,9,0.95,0.0,7.242798353909468
