time_step,dt,h,time,index,position,velocity,density
0,0.0,0.29999999999999993,0.0,0,0.05,0.0,6.111111111111112
0,0.0,0.29999999999999993,0.0,1,0.15,0.0,8.024691358024691
0,0.0,0.29999999999999993,0.0,2,0.25,0.0,9.259259259259261
0,0.0,0.29999999999999993,0.0,3,0.35,0.0,9.814814814814817
0,0.0,0.29999999999999993,0.0,4,0.44999999999999996,0.0,9.97942386831276
0,0.0,0.29999999999999993,0.0,5,0.5499999999999999,0.0,9.97942386831276
0,0.0,0.29999999999999993,0.0,6,0.65,0.0,9.814814814814815
0,0.0,0.29999999999999993,0.0,7,0.75,0.0,9.25925925925926
0,0.0,0.29999999999999993,0.0,8,0.85,0.0,8.024691358024693
0,0.0,0.29999999999999993,0.0,9,0.95,0.0,6.1111111111111125
